theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
privacy,CELO-USD,CELO,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ZANO-USD,ZANO,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ALEO-USD,ALEO,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ZEC-USD,ZEC,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,DASH-USD,DASH,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,XMR-USD,XMR,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ROSE-USD,ROSE,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,BDX-USD,BDX,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,TRAC-USD,TRAC,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
telegram_bot,PAAL-USD,PAAL,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
telegram_bot,SPECTRE-USD,SPECTRE,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
telegram_bot,CGPT-USD,CGPT,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
